date,ticker,money,price,shares,total ,fees,sharpe
2024-01-11,MMM,2.3032862205778954,119.76969909667967,100.0,11976.969909667967,125.72,6.117195153517685
2024-01-11,MRK,2.3032862205778954,108.0467758178711,200.0,21609.35516357422,125.72,6.117195153517685
2024-01-11,MSFT,2.3032862205778954,233.26644897460935,109.0,25426.04293823242,125.72,6.117195153517685
2024-01-11,NKE,2.3032862205778954,125.85770416259766,37.0,4656.735054016113,125.72,6.117195153517685
2024-01-11,PG,2.3032862205778954,146.00787353515625,0.0,0.0,125.72,6.117195153517685
2024-01-11,TRV,2.3032862205778954,186.48519897460935,0.0,0.0,125.72,6.117195153517685
2024-01-11,UNH,2.3032862205778954,484.1732482910156,0.0,0.0,125.72,6.117195153517685
2024-01-11,V,2.3032862205778954,219.9400634765625,0,0.0,125.72,6.117195153517685
2024-01-11,VZ,2.3032862205778954,38.319244384765625,0,0.0,125.72,6.117195153517685
2024-01-11,WBA,2.3032862205778954,34.24055480957031,0,0.0,125.72,6.117195153517685
2024-01-11,WMT,2.3032862205778954,47.97819900512695,0,0.0,125.72,6.117195153517685
2024-01-12,AAPL,2.3032862205778954,132.49937438964844,0.0,0.0,125.72,7.361353045356488
2024-01-12,AMGN,2.3032862205778954,259.8134765625,0,0.0,125.72,7.361353045356488
2024-01-12,AXP,2.3032862205778954,152.69798278808594,0.0,0.0,125.72,7.361353045356488
2024-01-12,BA,2.3032862205778954,214.32000732421875,0,0.0,125.72,7.361353045356488
2024-01-12,CAT,2.3032862205778954,248.80035400390625,0,0.0,125.72,7.361353045356488
2024-01-12,CRM,2.3032862205778954,149.60000610351562,100.0,14960.000610351562,125.72,7.361353045356488
2024-01-12,CSCO,2.3032862205778954,47.552520751953125,101.0,4802.804595947266,125.72,7.361353045356488
2024-01-12,CVX,2.3032862205778954,168.5462646484375,0,0.0,125.72,7.361353045356488
2024-01-12,DIS,2.3032862205778954,99.48576354980467,0.0,0.0,125.72,7.361353045356488
2024-01-12,GS,2.3032862205778954,356.0522155761719,0,0.0,125.72,7.361353045356488
2024-01-12,HD,2.3032862205778954,319.0311584472656,0,0.0,125.72,7.361353045356488
2024-01-12,HON,2.3032862205778954,210.1588897705078,0.0,0.0,125.72,7.361353045356488
2024-01-12,IBM,2.3032862205778954,137.4105224609375,1.0,137.4105224609375,125.72,7.361353045356488
2024-01-12,INTC,2.3032862205778954,29.51264381408691,0,0.0,125.72,7.361353045356488
2024-01-12,JNJ,2.3032862205778954,167.6029052734375,0,0.0,125.72,7.361353045356488
2024-01-12,JPM,2.3032862205778954,135.61666870117188,100.0,13561.666870117188,125.72,7.361353045356488
2024-01-12,KO,2.3032862205778954,59.33793258666992,100.0,5933.793258666992,125.72,7.361353045356488
2024-01-12,MCD,2.3032862205778954,259.310546875,0,0.0,125.72,7.361353045356488
2024-01-12,MMM,2.3032862205778954,119.98306274414062,100.0,11998.306274414062,125.72,7.361353045356488
2024-01-12,MRK,2.3032862205778954,108.72772216796876,200.0,21745.544433593754,125.72,7.361353045356488
2024-01-12,MSFT,2.3032862205778954,235.97735595703125,109.0,25721.531799316406,125.72,7.361353045356488
2024-01-12,NKE,2.3032862205778954,125.80850982666016,37.0,4654.914863586426,125.72,7.361353045356488
2024-01-12,PG,2.3032862205778954,145.18411254882812,0.0,0.0,125.72,7.361353045356488
2024-01-12,TRV,2.3032862205778954,186.83551025390625,0.0,0.0,125.72,7.361353045356488
2024-01-12,UNH,2.3032862205778954,486.40081787109375,0.0,0.0,125.72,7.361353045356488
2024-01-12,V,2.3032862205778954,221.4452667236328,0,0.0,125.72,7.361353045356488
2024-01-12,VZ,2.3032862205778954,38.90548324584961,0,0.0,125.72,7.361353045356488
2024-01-12,WBA,2.3032862205778954,33.81623840332031,0,0.0,125.72,7.361353045356488
2024-01-12,WMT,2.3032862205778954,47.54480743408203,0,0.0,125.72,7.361353045356488
2024-01-13,AAPL,2.3032862205778954,133.84014892578125,0.0,0.0,125.72,8.038797030118157
2024-01-13,AMGN,2.3032862205778954,260.5902404785156,0,0.0,125.72,8.038797030118157
2024-01-13,AXP,2.3032862205778954,153.5259246826172,0.0,0.0,125.72,8.038797030118157
2024-01-13,BA,2.3032862205778954,214.1300048828125,0,0.0,125.72,8.038797030118157
2024-01-13,CAT,2.3032862205778954,252.1070098876953,0,0.0,125.72,8.038797030118157
2024-01-13,CRM,2.3032862205778954,149.50999450683594,100.0,14950.999450683594,125.72,8.038797030118157
2024-01-13,CSCO,2.3032862205778954,47.436065673828125,101.0,4791.042633056641,125.72,8.038797030118157
2024-01-13,CVX,2.3032862205778954,169.0031280517578,0,0.0,125.72,8.038797030118157
